都道府県漢字名,市区郡漢字名,町村字通称漢字名,通称漢字名,緯度,経度
岐阜県　,揖斐郡　　　　　　　,池田町　宮地　　　　　　　　　　　　　　,　　　　　　　　　　　　　　　　　　　　　　　　　,,
岐阜県　,揖斐郡　　　　　　　,池田町　山洞　　　　　　　　　　　　　　,　　　　　　　　　　　　　　　　　　　　　　　　　,,
岐阜県　,揖斐郡　　　　　　　,池田町　八幡　　　　　　　　　　　　　　,　　　　　　　　　　　　　　　　　　　　　　　　　,,
岐阜県　,揖斐郡　　　　　　　,池田町　六之井　　　　　　　　　　　　　,　　　　　　　　　　　　　　　　　　　　　　　　　,,
岐阜県　,揖斐郡　　　　　　　,揖斐川町　市場　　　　　　　　　　　　　,　　　　　　　　　　　　　　　　　　　　　　　　　,,
岐阜県　,揖斐郡　　　　　　　,揖斐川町　上野　　　　　　　　　　　　　,　　　　　　　　　　　　　　　　　　　　　　　　　,,
岐阜県　,揖斐郡　　　　　　　,揖斐川町　岡　　　　　　　　　　　　　　,　　　　　　　　　　　　　　　　　　　　　　　　　,,
岐阜県　,揖斐郡　　　　　　　,揖斐川町　小野　　　　　　　　　　　　　,　　　　　　　　　　　　　　　　　　　　　　　　　,,
岐阜県　,揖斐郡　　　　　　　,揖斐川町　桂　　　　　　　　　　　　　　,　　　　　　　　　　　　　　　　　　　　　　　　　,,
岐阜県　,揖斐郡　　　　　　　,揖斐川町　上岡島　　　　　　　　　　　　,　　　　　　　　　　　　　　　　　　　　　　　　　,,
岐阜県　,揖斐郡　　　　　　　,揖斐川町　上ミ野　　　　　　　　　　　　,　　　　　　　　　　　　　　　　　　　　　　　　　,,
岐阜県　,揖斐郡　　　　　　　,揖斐川町　上東野　　　　　　　　　　　　,　　　　　　　　　　　　　　　　　　　　　　　　　,,
岐阜県　,揖斐郡　　　　　　　,揖斐川町　上南方　　　　　　　　　　　　,　　　　　　　　　　　　　　　　　　　　　　　　　,,
岐阜県　,揖斐郡　　　　　　　,揖斐川町　北方　　　　　　　　　　　　　,　　　　　　　　　　　　　　　　　　　　　　　　　,,
岐阜県　,揖斐郡　　　　　　　,揖斐川町　清水　　　　　　　　　　　　　,　　　　　　　　　　　　　　　　　　　　　　　　　,,
岐阜県　,揖斐郡　　　　　　　,揖斐川町　黒田　　　　　　　　　　　　　,　　　　　　　　　　　　　　　　　　　　　　　　　,,
岐阜県　,揖斐郡　　　　　　　,揖斐川町　小島　　　　　　　　　　　　　,　　　　　　　　　　　　　　　　　　　　　　　　　,,
岐阜県　,揖斐郡　　　　　　　,揖斐川町　小谷　　　　　　　　　　　　　,　　　　　　　　　　　　　　　　　　　　　　　　　,,
岐阜県　,揖斐郡　　　　　　　,揖斐川町　極楽寺　　　　　　　　　　　　,　　　　　　　　　　　　　　　　　　　　　　　　　,,
岐阜県　,揖斐郡　　　　　　　,揖斐川町　志津山　　　　　　　　　　　　,　　　　　　　　　　　　　　　　　　　　　　　　　,,
岐阜県　,揖斐郡　　　　　　　,揖斐川町　島　　　　　　　　　　　　　　,　　　　　　　　　　　　　　　　　　　　　　　　　,,
岐阜県　,揖斐郡　　　　　　　,揖斐川町　下岡島　　　　　　　　　　　　,　　　　　　　　　　　　　　　　　　　　　　　　　,,
岐阜県　,揖斐郡　　　　　　　,揖斐川町　白樫　　　　　　　　　　　　　,　　　　　　　　　　　　　　　　　　　　　　　　　,,
岐阜県　,揖斐郡　　　　　　　,揖斐川町　新宮　　　　　　　　　　　　　,　　　　　　　　　　　　　　　　　　　　　　　　　,,
岐阜県　,揖斐郡　　　　　　　,揖斐川町　瑞岩寺　　　　　　　　　　　　,　　　　　　　　　　　　　　　　　　　　　　　　　,,
岐阜県　,揖斐郡　　　　　　　,揖斐川町　大光寺　　　　　　　　　　　　,　　　　　　　　　　　　　　　　　　　　　　　　　,,
岐阜県　,揖斐郡　　　　　　　,揖斐川町　長良　　　　　　　　　　　　　,　　　　　　　　　　　　　　　　　　　　　　　　　,,
岐阜県　,揖斐郡　　　　　　　,揖斐川町　脛永　　　　　　　　　　　　　,　　　　　　　　　　　　　　　　　　　　　　　　　,,
岐阜県　,揖斐郡　　　　　　　,揖斐川町　福島　　　　　　　　　　　　　,　　　　　　　　　　　　　　　　　　　　　　　　　,,
岐阜県　,揖斐郡　　　　　　　,揖斐川町　房島　　　　　　　　　　　　　,　　　　　　　　　　　　　　　　　　　　　　　　　,,
岐阜県　,揖斐郡　　　　　　　,揖斐川町　房島堤塘無番地　　　　　　　　,　　　　　　　　　　　　　　　　　　　　　　　　　,,
岐阜県　,揖斐郡　　　　　　　,揖斐川町　三輪　　　　　　　　　　　　　,　　　　　　　　　　　　　　　　　　　　　　　　　,,
岐阜県　,揖斐郡　　　　　　　,揖斐川町　若松　　　　　　　　　　　　　,　　　　　　　　　　　　　　　　　　　　　　　　　,,
岐阜県　,揖斐郡　　　　　　　,揖斐川町　和田　　　　　　　　　　　　　,　　　　　　　　　　　　　　　　　　　　　　　　　,,
岐阜県　,本巣郡　　　　　　　,北方町　朝日町　　　　　　　　　　　　　,　　　　　　　　　　　　　　　　　　　　　　　　　,,
岐阜県　,本巣郡　　　　　　　,北方町　一本松　　　　　　　　　　　　　,　　　　　　　　　　　　　　　　　　　　　　　　　,,
岐阜県　,本巣郡　　　　　　　,北方町　加茂　　　　　　　　　　　　　　,　　　　　　　　　　　　　　　　　　　　　　　　　,,
岐阜県　,本巣郡　　　　　　　,北方町　北方　　　　　　　　　　　　　　,　　　　　　　　　　　　　　　　　　　　　　　　　,,
岐阜県　,本巣郡　　　　　　　,北方町　小柳　　　　　　　　　　　　　　,　　　　　　　　　　　　　　　　　　　　　　　　　,,
岐阜県　,本巣郡　　　　　　　,北方町　芝原中町　　　　　　　　　　　　,　　　　　　　　　　　　　　　　　　　　　　　　　,,
岐阜県　,本巣郡　　　　　　　,北方町　芝原西町　　　　　　　　　　　　,　　　　　　　　　　　　　　　　　　　　　　　　　,,
岐阜県　,本巣郡　　　　　　　,北方町　芝原東町　　　　　　　　　　　　,　　　　　　　　　　　　　　　　　　　　　　　　　,,
岐阜県　,本巣郡　　　　　　　,北方町　清水　　　　　　　　　　　　　　,　　　　　　　　　　　　　　　　　　　　　　　　　,,
岐阜県　,本巣郡　　　　　　　,北方町　曲路　　　　　　　　　　　　　　,　　　　　　　　　　　　　　　　　　　　　　　　　,,
岐阜県　,本巣郡　　　　　　　,北方町　曲路東　　　　　　　　　　　　　,　　　　　　　　　　　　　　　　　　　　　　　　　,,
岐阜県　,本巣郡　　　　　　　,北方町　高屋　　　　　　　　　　　　　　,　　　　　　　　　　　　　　　　　　　　　　　　　,,
岐阜県　,本巣郡　　　　　　　,北方町　高屋石末　　　　　　　　　　　　,　　　　　　　　　　　　　　　　　　　　　　　　　,,
岐阜県　,本巣郡　　　　　　　,北方町　高屋伊勢田　　　　　　　　　　　,　　　　　　　　　　　　　　　　　　　　　　　　　,,
岐阜県　,本巣郡　　　　　　　,北方町　高屋白木　　　　　　　　　　　　,　　　　　　　　　　　　　　　　　　　　　　　　　,,
岐阜県　,本巣郡　　　　　　　,北方町　高屋条里　　　　　　　　　　　　,　　　　　　　　　　　　　　　　　　　　　　　　　,,
岐阜県　,本巣郡　　　　　　　,北方町　高屋太子　　　　　　　　　　　　,　　　　　　　　　　　　　　　　　　　　　　　　　,,
岐阜県　,本巣郡　　　　　　　,北方町　高屋勅使　　　　　　　　　　　　,　　　　　　　　　　　　　　　　　　　　　　　　　,,
岐阜県　,本巣郡　　　　　　　,北方町　高屋分木　　　　　　　　　　　　,　　　　　　　　　　　　　　　　　　　　　　　　　,,
岐阜県　,本巣郡　　　　　　　,北方町　天狗堂　　　　　　　　　　　　　,　　　　　　　　　　　　　　　　　　　　　　　　　,,
岐阜県　,本巣郡　　　　　　　,北方町　柱本　　　　　　　　　　　　　　,　　　　　　　　　　　　　　　　　　　　　　　　　,,
岐阜県　,本巣郡　　　　　　　,北方町　柱本池之頭　　　　　　　　　　　,　　　　　　　　　　　　　　　　　　　　　　　　　,,
岐阜県　,本巣郡　　　　　　　,北方町　柱本白坪　　　　　　　　　　　　,　　　　　　　　　　　　　　　　　　　　　　　　　,,
岐阜県　,本巣郡　　　　　　　,北方町　柱本南　　　　　　　　　　　　　,　　　　　　　　　　　　　　　　　　　　　　　　　,,
岐阜県　,本巣郡　　　　　　　,北方町　長谷川西　　　　　　　　　　　　,　　　　　　　　　　　　　　　　　　　　　　　　　,,
岐阜県　,本巣郡　　　　　　　,北方町　春来町　　　　　　　　　　　　　,　　　　　　　　　　　　　　　　　　　　　　　　　,,
岐阜県　,本巣郡　　　　　　　,北方町　平成　　　　　　　　　　　　　　,　　　　　　　　　　　　　　　　　　　　　　　　　,,
岐阜県　,加茂郡　　　　　　　,坂祝町　大針　　　　　　　　　　　　　　,　　　　　　　　　　　　　　　　　　　　　　　　　,,
岐阜県　,加茂郡　　　　　　　,坂祝町　勝山　　　　　　　　　　　　　　,　　　　　　　　　　　　　　　　　　　　　　　　　,,
岐阜県　,加茂郡　　　　　　　,坂祝町　加茂山　　　　　　　　　　　　　,　　　　　　　　　　　　　　　　　　　　　　　　　,,
岐阜県　,加茂郡　　　　　　　,坂祝町　黒岩　　　　　　　　　　　　　　,　　　　　　　　　　　　　　　　　　　　　　　　　,,
岐阜県　,加茂郡　　　　　　　,坂祝町　酒倉　　　　　　　　　　　　　　,　　　　　　　　　　　　　　　　　　　　　　　　　,,
岐阜県　,加茂郡　　　　　　　,坂祝町　酒倉深田　　　　　　　　　　　　,　　　　　　　　　　　　　　　　　　　　　　　　　,,
岐阜県　,加茂郡　　　　　　　,坂祝町　取組　　　　　　　　　　　　　　,　　　　　　　　　　　　　　　　　　　　　　　　　,,
岐阜県　,加茂郡　　　　　　　,坂祝町　深萱　　　　　　　　　　　　　　,　　　　　　　　　　　　　　　　　　　　　　　　　,,
岐阜県　,加茂郡　　　　　　　,川辺町　石神　　　　　　　　　　　　　　,　　　　　　　　　　　　　　　　　　　　　　　　　,,
岐阜県　,加茂郡　　　　　　　,川辺町　鹿塩　　　　　　　　　　　　　　,　　　　　　　　　　　　　　　　　　　　　　　　　,,
岐阜県　,加茂郡　　　　　　　,川辺町　上川辺　　　　　　　　　　　　　,　　　　　　　　　　　　　　　　　　　　　　　　　,,
岐阜県　,加茂郡　　　　　　　,川辺町　下麻生　　　　　　　　　　　　　,　　　　　　　　　　　　　　　　　　　　　　　　　,,
岐阜県　,加茂郡　　　　　　　,川辺町　下飯田　　　　　　　　　　　　　,　　　　　　　　　　　　　　　　　　　　　　　　　,,
岐阜県　,加茂郡　　　　　　　,川辺町　下川辺　　　　　　　　　　　　　,　　　　　　　　　　　　　　　　　　　　　　　　　,,
岐阜県　,加茂郡　　　　　　　,川辺町　下吉田　　　　　　　　　　　　　,　　　　　　　　　　　　　　　　　　　　　　　　　,,
岐阜県　,加茂郡　　　　　　　,川辺町　中川辺　　　　　　　　　　　　　,　　　　　　　　　　　　　　　　　　　　　　　　　,,
岐阜県　,加茂郡　　　　　　　,川辺町　中野　　　　　　　　　　　　　　,　　　　　　　　　　　　　　　　　　　　　　　　　,,
岐阜県　,加茂郡　　　　　　　,川辺町　西栃井　　　　　　　　　　　　　,　　　　　　　　　　　　　　　　　　　　　　　　　,,
岐阜県　,加茂郡　　　　　　　,川辺町　比久見　　　　　　　　　　　　　,　　　　　　　　　　　　　　　　　　　　　　　　　,,
岐阜県　,加茂郡　　　　　　　,川辺町　福島　　　　　　　　　　　　　　,　　　　　　　　　　　　　　　　　　　　　　　　　,,
岐阜県　,加茂郡　　　　　　　,八百津町　伊岐津志　　　　　　　　　　　,　　　　　　　　　　　　　　　　　　　　　　　　　,,
岐阜県　,加茂郡　　　　　　　,八百津町　上飯田　　　　　　　　　　　　,　　　　　　　　　　　　　　　　　　　　　　　　　,,
岐阜県　,加茂郡　　　　　　　,八百津町　上牧野　　　　　　　　　　　　,　　　　　　　　　　　　　　　　　　　　　　　　　,,
岐阜県　,加茂郡　　　　　　　,八百津町　錦織　　　　　　　　　　　　　,　　　　　　　　　　　　　　　　　　　　　　　　　,,
岐阜県　,加茂郡　　　　　　　,八百津町　野上　　　　　　　　　　　　　,　　　　　　　　　　　　　　　　　　　　　　　　　,,
岐阜県　,加茂郡　　　　　　　,八百津町　八百津　　　　　　　　　　　　,　　　　　　　　　　　　　　　　　　　　　　　　　,,
岐阜県　,加茂郡　　　　　　　,八百津町　和知　　　　　　　　　　　　　,　　　　　　　　　　　　　　　　　　　　　　　　　,,
岐阜県　,加茂郡　　　　　　　,東白川村　越原　　　　　　　　　　　　　,　　　　　　　　　　　　　　　　　　　　　　　　　,,
岐阜県　,加茂郡　　　　　　　,東白川村　神土　　　　　　　　　　　　　,　　　　　　　　　　　　　　　　　　　　　　　　　,,
岐阜県　,加茂郡　　　　　　　,東白川村　五加　　　　　　　　　　　　　,　　　　　　　　　　　　　　　　　　　　　　　　　,,
岐阜県　,加茂郡　　　　　　　,白川町　和泉　　　　　　　　　　　　　　,　　　　　　　　　　　　　　　　　　　　　　　　　,,
岐阜県　,加茂郡　　　　　　　,白川町　河東　　　　　　　　　　　　　　,　　　　　　　　　　　　　　　　　　　　　　　　　,,
岐阜県　,加茂郡　　　　　　　,白川町　河岐　　　　　　　　　　　　　　,　　　　　　　　　　　　　　　　　　　　　　　　　,,
岐阜県　,加茂郡　　　　　　　,白川町　坂ノ東　　　　　　　　　　　　　,　　　　　　　　　　　　　　　　　　　　　　　　　,,
岐阜県　,加茂郡　　　　　　　,白川町　白山　　　　　　　　　　　　　　,　　　　　　　　　　　　　　　　　　　　　　　　　,,
岐阜県　,加茂郡　　　　　　　,白川町　中川　　　　　　　　　　　　　　,　　　　　　　　　　　　　　　　　　　　　　　　　,,
岐阜県　,加茂郡　　　　　　　,白川町　広野　　　　　　　　　　　　　　,　　　　　　　　　　　　　　　　　　　　　　　　　,,
岐阜県　,加茂郡　　　　　　　,白川町　水戸野　　　　　　　　　　　　　,　　　　　　　　　　　　　　　　　　　　　　　　　,,
岐阜県　,加茂郡　　　　　　　,富加町　大平賀　　　　　　　　　　　　　,　　　　　　　　　　　　　　　　　　　　　　　　　,,
岐阜県　,加茂郡　　　　　　　,富加町　大山　　　　　　　　　　　　　　,　　　　　　　　　　　　　　　　　　　　　　　　　,,
岐阜県　,加茂郡　　　　　　　,富加町　加治田　　　　　　　　　　　　　,　　　　　　　　　　　　　　　　　　　　　　　　　,,
岐阜県　,加茂郡　　　　　　　,富加町　高畑　　　　　　　　　　　　　　,　　　　　　　　　　　　　　　　　　　　　　　　　,,
岐阜県　,加茂郡　　　　　　　,富加町　滝田　　　　　　　　　　　　　　,　　　　　　　　　　　　　　　　　　　　　　　　　,,
岐阜県　,加茂郡　　　　　　　,富加町　羽生　　　　　　　　　　　　　　,　　　　　　　　　　　　　　　　　　　　　　　　　,,
岐阜県　,加茂郡　　　　　　　,富加町　夕田　　　　　　　　　　　　　　,　　　　　　　　　　　　　　　　　　　　　　　　　,,
岐阜県　,加茂郡　　　　　　　,七宗町　上麻生　　　　　　　　　　　　　,　　　　　　　　　　　　　　　　　　　　　　　　　,,
