都道府県漢字名,市区郡漢字名,町村字通称漢字名,通称漢字名,緯度,経度
京都府　,京都市　下京区　　　,仏具屋町　　　　　　　　　　　　　　　　,花屋町通　油小路東入　　　　　　　　　　　　　　　,,
京都府　,京都市　下京区　　　,紅葉町　　　　　　　　　　　　　　　　　,　　　　　　　　　　　　　　　　　　　　　　　　　,,
京都府　,京都市　下京区　　　,紅葉町　　　　　　　　　　　　　　　　　,北小路通　東中筋西入　　　　　　　　　　　　　　　,,
京都府　,京都市　下京区　　　,紅葉町　　　　　　　　　　　　　　　　　,正面通　西洞院西入　　　　　　　　　　　　　　　　,,
京都府　,京都市　下京区　　　,紅葉町　　　　　　　　　　　　　　　　　,正面通　東中筋東入　　　　　　　　　　　　　　　　,,
京都府　,京都市　下京区　　　,紅葉町　　　　　　　　　　　　　　　　　,東中筋通　北小路上る　　　　　　　　　　　　　　　,,
京都府　,京都市　下京区　　　,紅葉町　　　　　　　　　　　　　　　　　,東中筋通　正面下る　　　　　　　　　　　　　　　　,,
京都府　,京都市　下京区　　　,植松町　　　　　　　　　　　　　　　　　,　　　　　　　　　　　　　　　　　　　　　　　　　,,
京都府　,京都市　下京区　　　,植松町　　　　　　　　　　　　　　　　　,正面通　西洞院西入　　　　　　　　　　　　　　　　,,
京都府　,京都市　下京区　　　,植松町　　　　　　　　　　　　　　　　　,西洞院通　正面下る　　　　　　　　　　　　　　　　,,
京都府　,京都市　下京区　　　,柳町　　　　　　　　　　　　　　　　　　,　　　　　　　　　　　　　　　　　　　　　　　　　,,
京都府　,京都市　下京区　　　,柳町　　　　　　　　　　　　　　　　　　,正面通　東中筋西入　　　　　　　　　　　　　　　　,,
京都府　,京都市　下京区　　　,柳町　　　　　　　　　　　　　　　　　　,花屋町通　油小路東入　　　　　　　　　　　　　　　,,
京都府　,京都市　下京区　　　,柳町　　　　　　　　　　　　　　　　　　,花屋町通　西洞院西入　　　　　　　　　　　　　　　,,
京都府　,京都市　下京区　　　,柳町　　　　　　　　　　　　　　　　　　,花屋町通　東中筋西入　　　　　　　　　　　　　　　,,
京都府　,京都市　下京区　　　,柳町　　　　　　　　　　　　　　　　　　,花屋町通　東中筋東入　　　　　　　　　　　　　　　,,
京都府　,京都市　下京区　　　,柳町　　　　　　　　　　　　　　　　　　,東中筋通　花屋町下る　　　　　　　　　　　　　　　,,
京都府　,京都市　下京区　　　,山川町　　　　　　　　　　　　　　　　　,　　　　　　　　　　　　　　　　　　　　　　　　　,,
京都府　,京都市　下京区　　　,山川町　　　　　　　　　　　　　　　　　,花屋町通　西洞院西入　　　　　　　　　　　　　　　,,
京都府　,京都市　下京区　　　,学林町　　　　　　　　　　　　　　　　　,　　　　　　　　　　　　　　　　　　　　　　　　　,,
京都府　,京都市　下京区　　　,学林町　　　　　　　　　　　　　　　　　,花屋町通　東中筋西入　　　　　　　　　　　　　　　,,
京都府　,京都市　下京区　　　,学林町　　　　　　　　　　　　　　　　　,花屋町通　東中筋東入　　　　　　　　　　　　　　　,,
京都府　,京都市　下京区　　　,学林町　　　　　　　　　　　　　　　　　,東中筋通　花屋町上る　　　　　　　　　　　　　　　,,
京都府　,京都市　下京区　　　,学林町　　　　　　　　　　　　　　　　　,東中筋通　六条下る　　　　　　　　　　　　　　　　,,
京都府　,京都市　下京区　　　,学林町　　　　　　　　　　　　　　　　　,六条通　油小路東入　　　　　　　　　　　　　　　　,,
京都府　,京都市　下京区　　　,学林町　　　　　　　　　　　　　　　　　,六条通　東中筋西入　　　　　　　　　　　　　　　　,,
京都府　,京都市　下京区　　　,学林町　　　　　　　　　　　　　　　　　,六条通　東中筋東入　　　　　　　　　　　　　　　　,,
京都府　,京都市　下京区　　　,西若松町　　　　　　　　　　　　　　　　,　　　　　　　　　　　　　　　　　　　　　　　　　,,
京都府　,京都市　下京区　　　,西若松町　　　　　　　　　　　　　　　　,油小路通　花屋町上る　　　　　　　　　　　　　　　,,
京都府　,京都市　下京区　　　,西若松町　　　　　　　　　　　　　　　　,油小路通　六条下る　　　　　　　　　　　　　　　　,,
京都府　,京都市　下京区　　　,西若松町　　　　　　　　　　　　　　　　,花屋町通　油小路西入　　　　　　　　　　　　　　　,,
京都府　,京都市　下京区　　　,西若松町　　　　　　　　　　　　　　　　,花屋町通　油小路東入　　　　　　　　　　　　　　　,,
京都府　,京都市　下京区　　　,西若松町　　　　　　　　　　　　　　　　,西洞院通　花屋町上る　　　　　　　　　　　　　　　,,
京都府　,京都市　下京区　　　,西若松町　　　　　　　　　　　　　　　　,六条通　油小路西入　　　　　　　　　　　　　　　　,,
京都府　,京都市　下京区　　　,西若松町　　　　　　　　　　　　　　　　,六条通　油小路東入　　　　　　　　　　　　　　　　,,
京都府　,京都市　下京区　　　,元日町　　　　　　　　　　　　　　　　　,　　　　　　　　　　　　　　　　　　　　　　　　　,,
京都府　,京都市　下京区　　　,元日町　　　　　　　　　　　　　　　　　,醒ケ井通　花屋町上る　　　　　　　　　　　　　　　,,
京都府　,京都市　下京区　　　,元日町　　　　　　　　　　　　　　　　　,醒ケ井通　六条下る　　　　　　　　　　　　　　　　,,
京都府　,京都市　下京区　　　,元日町　　　　　　　　　　　　　　　　　,花屋町通　醒ケ井西入　　　　　　　　　　　　　　　,,
京都府　,京都市　下京区　　　,住吉町　　　　　　　　　　　　　　　　　,　　　　　　　　　　　　　　　　　　　　　　　　　,,
京都府　,京都市　下京区　　　,住吉町　　　　　　　　　　　　　　　　　,西中筋通　花屋町上る　　　　　　　　　　　　　　　,,
京都府　,京都市　下京区　　　,住吉町　　　　　　　　　　　　　　　　　,西中筋通　六条下る　　　　　　　　　　　　　　　　,,
京都府　,京都市　下京区　　　,住吉町　　　　　　　　　　　　　　　　　,六条通　油小路西入　　　　　　　　　　　　　　　　,,
京都府　,京都市　下京区　　　,住吉町　　　　　　　　　　　　　　　　　,六条通　西中筋東入　　　　　　　　　　　　　　　　,,
京都府　,京都市　下京区　　　,花屋町　　　　　　　　　　　　　　　　　,　　　　　　　　　　　　　　　　　　　　　　　　　,,
京都府　,京都市　下京区　　　,花屋町　　　　　　　　　　　　　　　　　,花屋町通　油小路西入　　　　　　　　　　　　　　　,,
京都府　,京都市　下京区　　　,堺町　　　　　　　　　　　　　　　　　　,　　　　　　　　　　　　　　　　　　　　　　　　　,,
京都府　,京都市　下京区　　　,堺町　　　　　　　　　　　　　　　　　　,西中筋通　花屋町下る　　　　　　　　　　　　　　　,,
京都府　,京都市　下京区　　　,堺町　　　　　　　　　　　　　　　　　　,花屋町通　西中筋東入　　　　　　　　　　　　　　　,,
京都府　,京都市　下京区　　　,珠数屋町　　　　　　　　　　　　　　　　,　　　　　　　　　　　　　　　　　　　　　　　　　,,
京都府　,京都市　下京区　　　,珠数屋町　　　　　　　　　　　　　　　　,正面通　油小路西入　　　　　　　　　　　　　　　　,,
京都府　,京都市　下京区　　　,菱屋町　　　　　　　　　　　　　　　　　,　　　　　　　　　　　　　　　　　　　　　　　　　,,
京都府　,京都市　下京区　　　,菱屋町　　　　　　　　　　　　　　　　　,七条通　西中筋東入　　　　　　　　　　　　　　　　,,
京都府　,京都市　下京区　　　,菱屋町　　　　　　　　　　　　　　　　　,西中筋通　北小路下る　　　　　　　　　　　　　　　,,
京都府　,京都市　下京区　　　,菱屋町　　　　　　　　　　　　　　　　　,西中筋通　七条上る　　　　　　　　　　　　　　　　,,
京都府　,京都市　下京区　　　,花園町　　　　　　　　　　　　　　　　　,　　　　　　　　　　　　　　　　　　　　　　　　　,,
京都府　,京都市　下京区　　　,花園町　　　　　　　　　　　　　　　　　,醒ケ井通　七条下る　　　　　　　　　　　　　　　　,,
京都府　,京都市　下京区　　　,花園町　　　　　　　　　　　　　　　　　,七条通　東堀川東入　　　　　　　　　　　　　　　　,,
京都府　,京都市　下京区　　　,花園町　　　　　　　　　　　　　　　　　,堀川通　七条上る　　　　　　　　　　　　　　　　　,,
京都府　,京都市　下京区　　　,高雄町　　　　　　　　　　　　　　　　　,　　　　　　　　　　　　　　　　　　　　　　　　　,,
京都府　,京都市　下京区　　　,高雄町　　　　　　　　　　　　　　　　　,北小路通　西洞院西入　　　　　　　　　　　　　　　,,
京都府　,京都市　下京区　　　,高雄町　　　　　　　　　　　　　　　　　,北小路通　東中筋東入　　　　　　　　　　　　　　　,,
京都府　,京都市　下京区　　　,北小路町　　　　　　　　　　　　　　　　,　　　　　　　　　　　　　　　　　　　　　　　　　,,
京都府　,京都市　下京区　　　,北小路町　　　　　　　　　　　　　　　　,北小路通　油小路西入　　　　　　　　　　　　　　　,,
京都府　,京都市　下京区　　　,北小路町　　　　　　　　　　　　　　　　,北小路通　西中筋西入　　　　　　　　　　　　　　　,,
京都府　,京都市　下京区　　　,丸屋町　　　　　　　　　　　　　　　　　,　　　　　　　　　　　　　　　　　　　　　　　　　,,
京都府　,京都市　下京区　　　,丸屋町　　　　　　　　　　　　　　　　　,北小路通　西中筋東入　　　　　　　　　　　　　　　,,
京都府　,京都市　下京区　　　,丸屋町　　　　　　　　　　　　　　　　　,西中筋通　北小路上る　　　　　　　　　　　　　　　,,
京都府　,京都市　下京区　　　,丸屋町　　　　　　　　　　　　　　　　　,西中筋通　正面下る　　　　　　　　　　　　　　　　,,
京都府　,京都市　下京区　　　,西洞院町　　　　　　　　　　　　　　　　,　　　　　　　　　　　　　　　　　　　　　　　　　,,
京都府　,京都市　下京区　　　,西洞院町　　　　　　　　　　　　　　　　,西洞院通　正面上る　　　　　　　　　　　　　　　　,,
京都府　,京都市　下京区　　　,西洞院町　　　　　　　　　　　　　　　　,西洞院通　花屋町下る　　　　　　　　　　　　　　　,,
京都府　,京都市　下京区　　　,西洞院町　　　　　　　　　　　　　　　　,花屋町通　西洞院東入　　　　　　　　　　　　　　　,,
京都府　,京都市　下京区　　　,蛭子水町　　　　　　　　　　　　　　　　,　　　　　　　　　　　　　　　　　　　　　　　　　,,
京都府　,京都市　下京区　　　,蛭子水町　　　　　　　　　　　　　　　　,正面通　西洞院東入　　　　　　　　　　　　　　　　,,
京都府　,京都市　下京区　　　,蛭子水町　　　　　　　　　　　　　　　　,正面通　若宮西入　　　　　　　　　　　　　　　　　,,
京都府　,京都市　下京区　　　,東側町　　　　　　　　　　　　　　　　　,　　　　　　　　　　　　　　　　　　　　　　　　　,,
京都府　,京都市　下京区　　　,東側町　　　　　　　　　　　　　　　　　,西洞院通　花屋町上る　　　　　　　　　　　　　　　,,
京都府　,京都市　下京区　　　,東側町　　　　　　　　　　　　　　　　　,西洞院通　六条下る　　　　　　　　　　　　　　　　,,
京都府　,京都市　下京区　　　,東側町　　　　　　　　　　　　　　　　　,六条通　西洞院東入　　　　　　　　　　　　　　　　,,
京都府　,京都市　下京区　　　,西側町　　　　　　　　　　　　　　　　　,　　　　　　　　　　　　　　　　　　　　　　　　　,,
京都府　,京都市　下京区　　　,西側町　　　　　　　　　　　　　　　　　,西洞院通　花屋町上る　　　　　　　　　　　　　　　,,
京都府　,京都市　下京区　　　,西側町　　　　　　　　　　　　　　　　　,西洞院通　六条下る　　　　　　　　　　　　　　　　,,
京都府　,京都市　下京区　　　,西側町　　　　　　　　　　　　　　　　　,六条通　西洞院西入　　　　　　　　　　　　　　　　,,
京都府　,京都市　下京区　　　,艮町　　　　　　　　　　　　　　　　　　,　　　　　　　　　　　　　　　　　　　　　　　　　,,
京都府　,京都市　下京区　　　,艮町　　　　　　　　　　　　　　　　　　,新町通　花屋町上る　　　　　　　　　　　　　　　　,,
京都府　,京都市　下京区　　　,艮町　　　　　　　　　　　　　　　　　　,新町通　花屋町下る　　　　　　　　　　　　　　　　,,
京都府　,京都市　下京区　　　,艮町　　　　　　　　　　　　　　　　　　,新町通　六条下る　　　　　　　　　　　　　　　　　,,
京都府　,京都市　下京区　　　,艮町　　　　　　　　　　　　　　　　　　,花屋町通　新町西入　　　　　　　　　　　　　　　　,,
京都府　,京都市　下京区　　　,艮町　　　　　　　　　　　　　　　　　　,花屋町通　新町東入　　　　　　　　　　　　　　　　,,
京都府　,京都市　下京区　　　,艮町　　　　　　　　　　　　　　　　　　,六条通　新町西入　　　　　　　　　　　　　　　　　,,
京都府　,京都市　下京区　　　,艮町　　　　　　　　　　　　　　　　　　,六条通　新町東入　　　　　　　　　　　　　　　　　,,
京都府　,京都市　下京区　　　,四本松町　　　　　　　　　　　　　　　　,　　　　　　　　　　　　　　　　　　　　　　　　　,,
京都府　,京都市　下京区　　　,四本松町　　　　　　　　　　　　　　　　,正面通　新町西入　　　　　　　　　　　　　　　　　,,
京都府　,京都市　下京区　　　,四本松町　　　　　　　　　　　　　　　　,正面通　若宮東入　　　　　　　　　　　　　　　　　,,
京都府　,京都市　下京区　　　,四本松町　　　　　　　　　　　　　　　　,若宮通　正面下る　　　　　　　　　　　　　　　　　,,
京都府　,京都市　下京区　　　,四本松町　　　　　　　　　　　　　　　　,若宮通　花屋町下る　　　　　　　　　　　　　　　　,,
京都府　,京都市　下京区　　　,四本松町　　　　　　　　　　　　　　　　,若宮通　正面上る　　　　　　　　　　　　　　　　　,,
京都府　,京都市　下京区　　　,若宮町　　　　　　　　　　　　　　　　　,　　　　　　　　　　　　　　　　　　　　　　　　　,,
京都府　,京都市　下京区　　　,若宮町　　　　　　　　　　　　　　　　　,六条通　新町西入　　　　　　　　　　　　　　　　　,,
京都府　,京都市　下京区　　　,若宮町　　　　　　　　　　　　　　　　　,六条通　西洞院東入　　　　　　　　　　　　　　　　,,
京都府　,京都市　下京区　　　,若宮町　　　　　　　　　　　　　　　　　,六条通　若宮西入　　　　　　　　　　　　　　　　　,,
京都府　,京都市　下京区　　　,若宮町　　　　　　　　　　　　　　　　　,六条通　若宮東入　　　　　　　　　　　　　　　　　,,
京都府　,京都市　下京区　　　,若宮町　　　　　　　　　　　　　　　　　,若宮通　花屋町上る　　　　　　　　　　　　　　　　,,
京都府　,京都市　下京区　　　,若宮町　　　　　　　　　　　　　　　　　,若宮通　花屋町下る　　　　　　　　　　　　　　　　,,
京都府　,京都市　下京区　　　,若宮町　　　　　　　　　　　　　　　　　,若宮通　六条下る　　　　　　　　　　　　　　　　　,,
京都府　,京都市　下京区　　　,西松屋町　　　　　　　　　　　　　　　　,　　　　　　　　　　　　　　　　　　　　　　　　　,,
京都府　,京都市　下京区　　　,西松屋町　　　　　　　　　　　　　　　　,西洞院通　花屋町上る　　　　　　　　　　　　　　　,,
京都府　,京都市　下京区　　　,西松屋町　　　　　　　　　　　　　　　　,花屋町通　西洞院東入　　　　　　　　　　　　　　　,,
京都府　,京都市　下京区　　　,西松屋町　　　　　　　　　　　　　　　　,花屋町通　若宮西入　　　　　　　　　　　　　　　　,,
京都府　,京都市　下京区　　　,東松屋町　　　　　　　　　　　　　　　　,　　　　　　　　　　　　　　　　　　　　　　　　　,,
京都府　,京都市　下京区　　　,東松屋町　　　　　　　　　　　　　　　　,花屋町通　新町西入　　　　　　　　　　　　　　　　,,
京都府　,京都市　下京区　　　,東松屋町　　　　　　　　　　　　　　　　,花屋町通　若宮東入　　　　　　　　　　　　　　　　,,
京都府　,京都市　下京区　　　,東松屋町　　　　　　　　　　　　　　　　,若宮通　花屋町上る　　　　　　　　　　　　　　　　,,
京都府　,京都市　下京区　　　,東松屋町　　　　　　　　　　　　　　　　,若宮通　花屋町下る　　　　　　　　　　　　　　　　,,
京都府　,京都市　下京区　　　,米屋町　　　　　　　　　　　　　　　　　,　　　　　　　　　　　　　　　　　　　　　　　　　,,
京都府　,京都市　下京区　　　,米屋町　　　　　　　　　　　　　　　　　,油小路通　北小路下る　　　　　　　　　　　　　　　,,
京都府　,京都市　下京区　　　,米屋町　　　　　　　　　　　　　　　　　,油小路通　七条上る　　　　　　　　　　　　　　　　,,
京都府　,京都市　下京区　　　,米屋町　　　　　　　　　　　　　　　　　,北小路通　油小路東入　　　　　　　　　　　　　　　,,
京都府　,京都市　下京区　　　,米屋町　　　　　　　　　　　　　　　　　,北小路通　東中筋西入　　　　　　　　　　　　　　　,,
京都府　,京都市　下京区　　　,玉本町　　　　　　　　　　　　　　　　　,　　　　　　　　　　　　　　　　　　　　　　　　　,,
京都府　,京都市　下京区　　　,玉本町　　　　　　　　　　　　　　　　　,油小路通　北小路上る　　　　　　　　　　　　　　　,,
京都府　,京都市　下京区　　　,玉本町　　　　　　　　　　　　　　　　　,油小路通　正面下る　　　　　　　　　　　　　　　　,,
京都府　,京都市　下京区　　　,文覚町　　　　　　　　　　　　　　　　　,　　　　　　　　　　　　　　　　　　　　　　　　　,,
京都府　,京都市　下京区　　　,文覚町　　　　　　　　　　　　　　　　　,北小路通　油小路東入　　　　　　　　　　　　　　　,,
京都府　,京都市　下京区　　　,文覚町　　　　　　　　　　　　　　　　　,北小路通　東中筋西入　　　　　　　　　　　　　　　,,
京都府　,京都市　下京区　　　,文覚町　　　　　　　　　　　　　　　　　,北小路通　東中筋東入　　　　　　　　　　　　　　　,,
京都府　,京都市　下京区　　　,文覚町　　　　　　　　　　　　　　　　　,東中筋通　北小路上る　　　　　　　　　　　　　　　,,
京都府　,京都市　下京区　　　,文覚町　　　　　　　　　　　　　　　　　,東中筋通　北小路下る　　　　　　　　　　　　　　　,,
京都府　,京都市　下京区　　　,文覚町　　　　　　　　　　　　　　　　　,東中筋通　七条上る　　　　　　　　　　　　　　　　,,
京都府　,京都市　下京区　　　,福本町　　　　　　　　　　　　　　　　　,　　　　　　　　　　　　　　　　　　　　　　　　　,,
京都府　,京都市　下京区　　　,福本町　　　　　　　　　　　　　　　　　,北小路通　西洞院東入　　　　　　　　　　　　　　　,,
京都府　,京都市　下京区　　　,福本町　　　　　　　　　　　　　　　　　,七条通　西洞院西入　　　　　　　　　　　　　　　　,,
京都府　,京都市　下京区　　　,福本町　　　　　　　　　　　　　　　　　,西洞院通　北小路下る　　　　　　　　　　　　　　　,,
京都府　,京都市　下京区　　　,福本町　　　　　　　　　　　　　　　　　,西洞院通　七条上る　　　　　　　　　　　　　　　　,,
京都府　,京都市　下京区　　　,鍛冶屋町　　　　　　　　　　　　　　　　,　　　　　　　　　　　　　　　　　　　　　　　　　,,
京都府　,京都市　下京区　　　,鍛冶屋町　　　　　　　　　　　　　　　　,北小路通　西洞院西入　　　　　　　　　　　　　　　,,
京都府　,京都市　下京区　　　,鍛冶屋町　　　　　　　　　　　　　　　　,北小路通　西洞院東入　　　　　　　　　　　　　　　,,
京都府　,京都市　下京区　　　,鍛冶屋町　　　　　　　　　　　　　　　　,西洞院通　北小路上る　　　　　　　　　　　　　　　,,
京都府　,京都市　下京区　　　,鍛冶屋町　　　　　　　　　　　　　　　　,西洞院通　正面下る　　　　　　　　　　　　　　　　,,
京都府　,京都市　下京区　　　,鍵屋町　　　　　　　　　　　　　　　　　,　　　　　　　　　　　　　　　　　　　　　　　　　,,
京都府　,京都市　下京区　　　,鍵屋町　　　　　　　　　　　　　　　　　,北小路通　西洞院東入　　　　　　　　　　　　　　　,,
京都府　,京都市　下京区　　　,鍵屋町　　　　　　　　　　　　　　　　　,北小路通　若宮西入　　　　　　　　　　　　　　　　,,
京都府　,京都市　下京区　　　,鍵屋町　　　　　　　　　　　　　　　　　,正面通　新町西入　　　　　　　　　　　　　　　　　,,
京都府　,京都市　下京区　　　,鍵屋町　　　　　　　　　　　　　　　　　,正面通　若宮東入　　　　　　　　　　　　　　　　　,,
京都府　,京都市　下京区　　　,鍵屋町　　　　　　　　　　　　　　　　　,若宮通　北小路上る　　　　　　　　　　　　　　　　,,
京都府　,京都市　下京区　　　,鍵屋町　　　　　　　　　　　　　　　　　,若宮通　正面下る　　　　　　　　　　　　　　　　　,,
京都府　,京都市　下京区　　　,平野町　　　　　　　　　　　　　　　　　,　　　　　　　　　　　　　　　　　　　　　　　　　,,
京都府　,京都市　下京区　　　,平野町　　　　　　　　　　　　　　　　　,北小路通　新町西入　　　　　　　　　　　　　　　　,,
京都府　,京都市　下京区　　　,平野町　　　　　　　　　　　　　　　　　,正面通　新町西入　　　　　　　　　　　　　　　　　,,
京都府　,京都市　下京区　　　,平野町　　　　　　　　　　　　　　　　　,新町通　正面下る　　　　　　　　　　　　　　　　　,,
京都府　,京都市　下京区　　　,東若松町　　　　　　　　　　　　　　　　,　　　　　　　　　　　　　　　　　　　　　　　　　,,
京都府　,京都市　下京区　　　,東若松町　　　　　　　　　　　　　　　　,正面通　新町西入　　　　　　　　　　　　　　　　　,,
京都府　,京都市　下京区　　　,東若松町　　　　　　　　　　　　　　　　,正面通　新町東入　　　　　　　　　　　　　　　　　,,
京都府　,京都市　下京区　　　,東若松町　　　　　　　　　　　　　　　　,新町通　正面上る　　　　　　　　　　　　　　　　　,,
京都府　,京都市　下京区　　　,東若松町　　　　　　　　　　　　　　　　,新町通　花屋町下る　　　　　　　　　　　　　　　　,,
京都府　,京都市　下京区　　　,東若松町　　　　　　　　　　　　　　　　,花屋町通　新町西入　　　　　　　　　　　　　　　　,,
京都府　,京都市　下京区　　　,辰巳町　　　　　　　　　　　　　　　　　,　　　　　　　　　　　　　　　　　　　　　　　　　,,
京都府　,京都市　下京区　　　,辰巳町　　　　　　　　　　　　　　　　　,北小路通　新町西入　　　　　　　　　　　　　　　　,,
京都府　,京都市　下京区　　　,辰巳町　　　　　　　　　　　　　　　　　,新町通　七条上る　　　　　　　　　　　　　　　　　,,
京都府　,京都市　下京区　　　,井筒町　　　　　　　　　　　　　　　　　,　　　　　　　　　　　　　　　　　　　　　　　　　,,
京都府　,京都市　下京区　　　,井筒町　　　　　　　　　　　　　　　　　,北小路通　新町西入　　　　　　　　　　　　　　　　,,
京都府　,京都市　下京区　　　,井筒町　　　　　　　　　　　　　　　　　,北小路通　西洞院東入　　　　　　　　　　　　　　　,,
京都府　,京都市　下京区　　　,井筒町　　　　　　　　　　　　　　　　　,若宮通　北小路上る　　　　　　　　　　　　　　　　,,
京都府　,京都市　下京区　　　,井筒町　　　　　　　　　　　　　　　　　,若宮通　北小路下る　　　　　　　　　　　　　　　　,,
京都府　,京都市　下京区　　　,竹屋町　　　　　　　　　　　　　　　　　,　　　　　　　　　　　　　　　　　　　　　　　　　,,
京都府　,京都市　下京区　　　,竹屋町　　　　　　　　　　　　　　　　　,若宮通　北小路下る　　　　　　　　　　　　　　　　,,
京都府　,京都市　下京区　　　,竹屋町　　　　　　　　　　　　　　　　　,若宮通　七条上る　　　　　　　　　　　　　　　　　,,
京都府　,京都市　下京区　　　,夷之町　　　　　　　　　　　　　　　　　,　　　　　　　　　　　　　　　　　　　　　　　　　,,
京都府　,京都市　下京区　　　,夷之町　　　　　　　　　　　　　　　　　,七条通　新町西入　　　　　　　　　　　　　　　　　,,
京都府　,京都市　下京区　　　,夷之町　　　　　　　　　　　　　　　　　,七条通　新町東入　　　　　　　　　　　　　　　　　,,
京都府　,京都市　下京区　　　,夷之町　　　　　　　　　　　　　　　　　,七条通　西洞院東入　　　　　　　　　　　　　　　　,,
