都道府県漢字名,市区郡漢字名,町村字通称漢字名,通称漢字名,緯度,経度
宮城県　,仙台市　太白区　　　,茂ケ崎　２丁目　　　　　　　　　　　　　,　　　　　　　　　　　　　　　　　　　　　　　　　,,
宮城県　,仙台市　太白区　　　,茂ケ崎　３丁目　　　　　　　　　　　　　,　　　　　　　　　　　　　　　　　　　　　　　　　,,
宮城県　,仙台市　太白区　　　,茂ケ崎　４丁目　　　　　　　　　　　　　,　　　　　　　　　　　　　　　　　　　　　　　　　,,
宮城県　,仙台市　太白区　　　,茂庭台　１丁目　　　　　　　　　　　　　,　　　　　　　　　　　　　　　　　　　　　　　　　,,
宮城県　,仙台市　太白区　　　,茂庭台　２丁目　　　　　　　　　　　　　,　　　　　　　　　　　　　　　　　　　　　　　　　,,
宮城県　,仙台市　太白区　　　,茂庭台　３丁目　　　　　　　　　　　　　,　　　　　　　　　　　　　　　　　　　　　　　　　,,
宮城県　,仙台市　太白区　　　,茂庭台　４丁目　　　　　　　　　　　　　,　　　　　　　　　　　　　　　　　　　　　　　　　,,
宮城県　,仙台市　太白区　　　,茂庭台　５丁目　　　　　　　　　　　　　,　　　　　　　　　　　　　　　　　　　　　　　　　,,
宮城県　,仙台市　太白区　　　,八木山東　１丁目　　　　　　　　　　　　,　　　　　　　　　　　　　　　　　　　　　　　　　,,
宮城県　,仙台市　太白区　　　,八木山東　２丁目　　　　　　　　　　　　,　　　　　　　　　　　　　　　　　　　　　　　　　,,
宮城県　,仙台市　太白区　　　,八木山本町　１丁目　　　　　　　　　　　,　　　　　　　　　　　　　　　　　　　　　　　　　,,
宮城県　,仙台市　太白区　　　,八木山本町　２丁目　　　　　　　　　　　,　　　　　　　　　　　　　　　　　　　　　　　　　,,
宮城県　,仙台市　太白区　　　,八木山南　１丁目　　　　　　　　　　　　,　　　　　　　　　　　　　　　　　　　　　　　　　,,
宮城県　,仙台市　太白区　　　,八木山南　２丁目　　　　　　　　　　　　,　　　　　　　　　　　　　　　　　　　　　　　　　,,
宮城県　,仙台市　太白区　　　,八木山南　３丁目　　　　　　　　　　　　,　　　　　　　　　　　　　　　　　　　　　　　　　,,
宮城県　,仙台市　太白区　　　,八木山南　４丁目　　　　　　　　　　　　,　　　　　　　　　　　　　　　　　　　　　　　　　,,
宮城県　,仙台市　太白区　　　,八木山南　５丁目　　　　　　　　　　　　,　　　　　　　　　　　　　　　　　　　　　　　　　,,
宮城県　,仙台市　太白区　　　,八木山南　６丁目　　　　　　　　　　　　,　　　　　　　　　　　　　　　　　　　　　　　　　,,
