都道府県漢字名,市区郡漢字名,町村字通称漢字名,通称漢字名,緯度,経度
新潟県　,燕市　　　　　　　　,吉田　文京町　　　　　　　　　　　　　　,　　　　　　　　　　　　　　　　　　　　　　　　　,,
新潟県　,燕市　　　　　　　　,吉田　法花堂　　　　　　　　　　　　　　,　　　　　　　　　　　　　　　　　　　　　　　　　,,
新潟県　,燕市　　　　　　　　,吉田　本所　　　　　　　　　　　　　　　,　　　　　　　　　　　　　　　　　　　　　　　　　,,
新潟県　,燕市　　　　　　　　,吉田　松岡新田　　　　　　　　　　　　　,　　　　　　　　　　　　　　　　　　　　　　　　　,,
新潟県　,燕市　　　　　　　　,吉田　松岡町　　　　　　　　　　　　　　,　　　　　　　　　　　　　　　　　　　　　　　　　,,
新潟県　,燕市　　　　　　　　,吉田　宮小路　　　　　　　　　　　　　　,　　　　　　　　　　　　　　　　　　　　　　　　　,,
新潟県　,燕市　　　　　　　　,吉田　本町　　　　　　　　　　　　　　　,　　　　　　　　　　　　　　　　　　　　　　　　　,,
新潟県　,燕市　　　　　　　　,吉田　矢作　　　　　　　　　　　　　　　,　　　　　　　　　　　　　　　　　　　　　　　　　,,
新潟県　,燕市　　　　　　　　,吉田　弥生町　　　　　　　　　　　　　　,　　　　　　　　　　　　　　　　　　　　　　　　　,,
新潟県　,燕市　　　　　　　　,吉田　吉栄　　　　　　　　　　　　　　　,　　　　　　　　　　　　　　　　　　　　　　　　　,,
新潟県　,燕市　　　　　　　　,吉田　若生町　　　　　　　　　　　　　　,　　　　　　　　　　　　　　　　　　　　　　　　　,,
新潟県　,燕市　　　　　　　　,米納津　　　　　　　　　　　　　　　　　,　　　　　　　　　　　　　　　　　　　　　　　　　,,
新潟県　,燕市　　　　　　　　,渡部　　　　　　　　　　　　　　　　　　,　　　　　　　　　　　　　　　　　　　　　　　　　,,
富山県　,黒部市　　　　　　　,宇奈月温泉　　　　　　　　　　　　　　　,　　　　　　　　　　　　　　　　　　　　　　　　　,,
富山県　,黒部市　　　　　　　,宇奈月町　愛本新　　　　　　　　　　　　,　　　　　　　　　　　　　　　　　　　　　　　　　,,
富山県　,黒部市　　　　　　　,宇奈月町　愛本橋爪東官林地内　　　　　　,　　　　　　　　　　　　　　　　　　　　　　　　　,,
富山県　,黒部市　　　　　　　,宇奈月町　明日　　　　　　　　　　　　　,　　　　　　　　　　　　　　　　　　　　　　　　　,,
富山県　,黒部市　　　　　　　,宇奈月町　内山　　　　　　　　　　　　　,　　　　　　　　　　　　　　　　　　　　　　　　　,,
富山県　,黒部市　　　　　　　,宇奈月町　浦山　　　　　　　　　　　　　,　　　　　　　　　　　　　　　　　　　　　　　　　,,
富山県　,黒部市　　　　　　　,宇奈月町　音澤　　　　　　　　　　　　　,　　　　　　　　　　　　　　　　　　　　　　　　　,,
富山県　,黒部市　　　　　　　,宇奈月町　音澤　　　　　　　　　　　　　,　　　　　　　　　　　　　　　　　　　　　　　　　,,
富山県　,黒部市　　　　　　　,宇奈月町　下立　　　　　　　　　　　　　,　　　　　　　　　　　　　　　　　　　　　　　　　,,
富山県　,黒部市　　　　　　　,宇奈月町　熊野　　　　　　　　　　　　　,　　　　　　　　　　　　　　　　　　　　　　　　　,,
富山県　,黒部市　　　　　　　,宇奈月町　栗虫　　　　　　　　　　　　　,　　　　　　　　　　　　　　　　　　　　　　　　　,,
富山県　,黒部市　　　　　　　,宇奈月町　栃屋　　　　　　　　　　　　　,　　　　　　　　　　　　　　　　　　　　　　　　　,,
富山県　,黒部市　　　　　　　,宇奈月町　土山　　　　　　　　　　　　　,　　　　　　　　　　　　　　　　　　　　　　　　　,,
富山県　,黒部市　　　　　　　,宇奈月町　中谷　　　　　　　　　　　　　,　　　　　　　　　　　　　　　　　　　　　　　　　,,
富山県　,黒部市　　　　　　　,宇奈月町　中ノ口　　　　　　　　　　　　,　　　　　　　　　　　　　　　　　　　　　　　　　,,
富山県　,黒部市　　　　　　　,宇奈月町　舟見　　　　　　　　　　　　　,　　　　　　　　　　　　　　　　　　　　　　　　　,,
福井県　,坂井市　　　　　　　,　　　　　　　　　　　　　　　　　　　　,　　　　　　　　　　　　　　　　　　　　　　　　　,,
福井県　,坂井市　　　　　　　,坂井町　朝日　　　　　　　　　　　　　　,　　　　　　　　　　　　　　　　　　　　　　　　　,,
